........] - ETA: 913s - loss: 0.9313 - acc: 0.7256
 443/2525 [====>.........................] - ETA: 768s - loss: 0.9596 - acc: 0.7245
 444/2525 [====>.........................] - ETA: 767s - loss: 0.9605 - acc: 0.7243
 445/2525 [====>.........................] - ETA: 767s - loss: 0.9609 - acc: 0.7242
 446/2525 [====>.........................] - ETA: 767s - loss: 0.9612 - acc: 0.7241
 447/2525 [====>.........................] - ETA: 766s - loss: 0.9609 - acc: 0.7241
 448/2525 [====>.........................] - ETA: 766s - loss: 0.9603 - acc: 0.7243
 449/2525 [====>.........................] - ETA: 766s - loss: 0.9613 - acc: 0.7242
 450/2525 [====>.........................] - ETA: 765s - loss: 0.9602 - acc: 0.7246
 451/2525 [====>.........................] - ETA: 765s - loss: 0.9604 - acc: 0.7248
 452/2525 [====>.........................] - ETA: 764s - loss: 0.9602 - acc: 0.7248
 453/2525 [====>.........................] - ETA: 764s - loss: 0.9593 - acc: 0.7251
 454/2525 [====>.........................] - ETA: 764s - loss: 0.9593 - acc: 0.7249
 455/2525 [====>.........................] - ETA: 763s - loss: 0.9585 - acc: 0.7251
 456/2525 [====>.........................] - ETA: 763s - loss: 0.9574 - acc: 0.7253
 457/2525 [====>.........................] - ETA: 762s - loss: 0.9583 - acc: 0.7252
 458/2525 [====>.........................] - ETA: 762s - loss: 0.9587 - acc: 0.7250
 459/2525 [====>.........................] - ETA: 762s - loss: 0.9592 - acc: 0.7247
 460/2525 [====>.........................] - ETA: 761s - loss: 0.9586 - acc: 0.7247
 461/2525 [====>.........................] - ETA: 761s - loss: 0.9587 - acc: 0.7246
 462/2525 [====>.........................] - ETA: 760s - loss: 0.9580 - acc: 0.7247
 463/2525 [====>.........................] - ETA: 760s - loss: 0.9578 - acc: 0.7246
 464/2525 [====>.........................] - ETA: 760s - loss: 0.9578 - acc: 0.7246
 465/2525 [====>.........................] - ETA: 759s - loss: 0.9589 - acc: 0.7243
 466/2525 [====>.........................] - ETA: 759s - loss: 0.9585 - acc: 0.7242
 467/2525 [====>.........................] - ETA: 758s - loss: 0.9582 - acc: 0.7240
 468/2525 [====>.........................] - ETA: 758s - loss: 0.9589 - acc: 0.7238
